time,ref,message
16:14:50,PAY-001,"Loaded (47445.4, Orbit Foods Pvt Ltd)"
16:14:50,PAY-001,1 candidate bank transaction(s) found
16:14:50,PAY-001,Candidate BNK-001 scored 100 - auto-reconciling
16:14:50,PAY-002,"Loaded (5211.41, ACME PRIVATE LIMITED)"
16:14:50,PAY-002,1 candidate bank transaction(s) found
16:14:50,PAY-002,Candidate BNK-002 scored 100 - auto-reconciling
16:14:50,PAY-003,"Loaded (29691.53, Clearwater Media Pvt Ltd)"
16:14:50,PAY-003,4 candidate bank transaction(s) found
16:14:50,PAY-003,Investigator activated
16:14:50,PAY-003,"Amount gap of 488.2 detected, searching fee records"
16:14:50,PAY-003,"Fee record FEE-003 found, explains gap"
16:14:50,PAY-004,"Loaded (29498.41, Bluepeak Private Ltd.)"
16:14:50,PAY-004,3 candidate bank transaction(s) found
16:14:50,PAY-004,Candidate BNK-004 scored 96 - auto-reconciling
16:14:50,PAY-005,"Loaded (21952.02, Northstar Logistics Pvt. Ltd)"
16:14:50,PAY-005,5 candidate bank transaction(s) found
16:14:50,PAY-005,Investigator activated
16:14:50,PAY-005,Ambiguous: BNK-005a and BNK-005b score within 5 points of each other
16:14:50,PAY-006,"Loaded (26734.63, UPI/VERTEXTRADERS/55020)"
16:14:50,PAY-006,9 candidate bank transaction(s) found
16:14:50,PAY-006,Candidate BNK-006 scored 96 - auto-reconciling
16:14:50,PAY-007,"Loaded (46730.24, Nimbus Retail Pvt Ltd)"
16:14:50,PAY-007,2 candidate bank transaction(s) found
16:14:50,PAY-007,Investigator activated
16:14:50,PAY-007,"Amount gap of -715.16 detected, searching fee records"
16:14:50,PAY-007,No fee record explains the gap - escalating
16:14:50,PAY-008,"Loaded (30124.12, Orbit Foods Pvt Ltd)"
16:14:50,PAY-008,5 candidate bank transaction(s) found
16:14:50,PAY-008,Investigator activated
16:14:50,PAY-008,"Amount gap of 1429.06 detected, searching fee records"
16:14:50,PAY-008,No fee record explains the gap - escalating
16:14:50,PAY-009,"Loaded (36114.76, Vertex Traders Private Ltd.)"
16:14:50,PAY-009,4 candidate bank transaction(s) found
16:14:50,PAY-009,Candidate BNK-009 scored 96 - auto-reconciling
16:14:50,PAY-010,"Loaded (11692.18, ACME PRIVATE LIMITED)"
16:14:50,PAY-010,1 candidate bank transaction(s) found
16:14:50,PAY-010,Candidate BNK-010 scored 96 - auto-reconciling
16:14:50,PAY-011,"Loaded (41144.71, Nimbus Retail Private Ltd.)"
16:14:50,PAY-011,4 candidate bank transaction(s) found
16:14:50,PAY-011,Investigator activated
16:14:50,PAY-011,"Amount gap of 646.86 detected, searching fee records"
16:14:50,PAY-011,No fee record explains the gap - escalating
16:14:50,PAY-012,"Loaded (5066.25, NIMBUS RETAIL PRIVATE LIMITED)"
16:14:50,PAY-012,4 candidate bank transaction(s) found
16:14:50,PAY-012,Candidate BNK-012 scored 100 - auto-reconciling
16:14:50,PAY-013,"Loaded (27194.96, Riverline Private Ltd.)"
