bank_id,description,amount,date
BNK-061b,Riverline Pvt. Ltd,6882.03,2026-08-30
BNK-033,Sunfield Textiles Private Ltd.,16483.01,2026-08-22
BNK-002,ACME PRIVATE LIMITED,5211.41,2026-08-14
BNK-023,Sunfield Textiles Pvt Ltd,10638.6,2026-08-07
BNK-062,BLUEPEAK PRIVATE LIMITED,18674.76,2026-08-15
BNK-066b,UPI/NIMBUSRETAIL/68977,32517.05,2026-08-03
BNK-018,Bluepeak Pvt. Ltd,8061.76,2026-08-25
BNK-004,BLUEPEAK PRIVATE LIMITED,29498.41,2026-08-22
BNK-031,Northstar Logistics Private Ltd.,2365.42,2026-08-30
BNK-023-dup,Sunfield Textiles Private Ltd.,10638.6,2026-08-07
BNK-049,UPI/RIVERLINE/88192,2102.21,2026-08-11
BNK-022,Sunfield Textiles Pvt Ltd,13699.54,2026-08-23
BNK-013,Riverline Pvt. Ltd,27194.96,2026-08-20
BNK-037-dup,Northstar Logistics Private Ltd.,31572.43,2026-08-17
BNK-026,Clearwater Media Pvt Ltd,41499.01,2026-08-16
BNK-057,ACME PRIVATE LIMITED,15189.86,2026-08-03
BNK-064,UPI/RIVERLINE/71890,23092.16,2026-08-26
BNK-066a,Nimbus Retail Private Ltd.,32517.05,2026-08-03
BNK-016,Northstar Logistics Private Ltd.,5971.75,2026-08-13
BNK-029,Nimbus Retail Pvt. Ltd,26125.85,2026-08-01
BNK-021,Cedar & Co Pvt Ltd,40497.85,2026-08-28
BNK-012,Nimbus Retail Pvt Ltd,5066.25,2026-08-05
BNK-045,Nimbus Retail Pvt Ltd,20830.19,2026-08-12
BNK-057-dup,Acme Pvt Ltd,15189.86,2026-08-03
BNK-070,UPI/BLUEPEAK/65731,14047.65,2026-08-09
BNK-017-dup,Clearwater Media Private Ltd.,18844.01,2026-08-04
BNK-041,ACME PRIVATE LIMITED,17312.15,2026-08-19
BNK-069-dup,ORBIT FOODS PRIVATE LIMITED,37853.44,2026-08-16
BNK-055,Nimbus Retail Pvt Ltd,16914.18,2026-08-21
BNK-025,UPI/SUNFIELDTEXTILES/87438,20667.95,2026-08-31
BNK-040,Nimbus Retail Private Ltd.,21325.92,2026-08-03
BNK-047,SUNFIELD TEXTILES PRIVATE LIMITED,1177.51,2026-08-12
BNK-024,Bluepeak Pvt Ltd,41897.79,2026-08-05
BNK-013-dup,Riverline Pvt Ltd,27194.96,2026-08-20
BNK-044,SUNFIELD TEXTILES PRIVATE LIMITED,6095.57,2026-08-28
BNK-067,Nimbus Retail Private Ltd.,27841.48,2026-08-08
BNK-005a,NORTHSTAR LOGISTICS PRIVATE LIMITED,21952.02,2026-08-11
BNK-006,VERTEX TRADERS PRIVATE LIMITED,26734.63,2026-08-30
BNK-008,Orbit Foods Private Ltd.,28695.06,2026-08-20
BNK-027,Riverline Private Ltd.,49340.92,2026-08-08
BNK-032,UPI/NORTHSTARLOGISTICS/27974,26496.12,2026-08-16
BNK-017,UPI/CLEARWATERMEDIA/71078,18844.01,2026-08-04
BNK-042,NIMBUS RETAIL PRIVATE LIMITED,10886.64,2026-08-11
BNK-061a,UPI/RIVERLINE/18516,6882.03,2026-08-30
BNK-063a,RIVERLINE PRIVATE LIMITED,26037.19,2026-08-07
BNK-058-dup,Clearwater Media Pvt. Ltd,5424.85,2026-08-24
BNK-054a,SUNFIELD TEXTILES PRIVATE LIMITED,25203.49,2026-08-13
BNK-037,Northstar Logistics Pvt Ltd,31572.43,2026-08-17
BNK-015,Cedar & Co Pvt. Ltd,4300.03,2026-08-07
BNK-009,Vertex Traders Pvt Ltd,36114.76,2026-08-30
BNK-001,Orbit Foods Pvt Ltd,47445.4,2026-08-13
BNK-003,Clearwater Media Pvt. Ltd,29203.33,2026-08-03
BNK-051,Clearwater Media Pvt Ltd,40100.39,2026-08-24
BNK-036,UPI/RIVERLINE/12370,10591.49,2026-08-12
BNK-005b,Northstar Logistics Pvt. Ltd,21952.02,2026-08-11
BNK-028b,Northstar Logistics Pvt. Ltd,21531.62,2026-08-05
BNK-050,SUNFIELD TEXTILES PRIVATE LIMITED,8323.69,2026-08-24
BNK-056,Vertex Traders Pvt Ltd,35734.68,2026-08-11
BNK-043,UPI/ORBITFOODS/77401,40380.27,2026-08-09
BNK-046,RIVERLINE PRIVATE LIMITED,43656.35,2026-08-23
BNK-048,ORBIT FOODS PRIVATE LIMITED,19386.31,2026-08-17
BNK-054b,Sunfield Textiles Pvt. Ltd,25203.49,2026-08-13
BNK-060,Sunfield Textiles Private Ltd.,20865.55,2026-08-25
BNK-069,Orbit Foods Pvt. Ltd,37853.44,2026-08-16
BNK-063b,Riverline Pvt Ltd,26037.19,2026-08-07
BNK-019,Nimbus Retail Pvt. Ltd,34813.31,2026-08-31
BNK-028a,Northstar Logistics Pvt. Ltd,21531.62,2026-08-05
BNK-014,UPI/SUNFIELDTEXTILES/73114,45077.12,2026-08-25
BNK-030,Northstar Logistics Pvt. Ltd,27005.59,2026-08-17
BNK-058,Clearwater Media Pvt. Ltd,5424.85,2026-08-24
BNK-059,Vertex Traders Pvt Ltd,44456.25,2026-08-24
BNK-065,UPI/VERTEXTRADERS/83049,15590.82,2026-08-24
BNK-052,Sunfield Textiles Pvt. Ltd,27812.7,2026-08-21
BNK-010,UPI/ACME/68875,11692.18,2026-08-11
