payment_id,expected_bank_id,expected_ledger_id,expected_fee_id,should_auto_reconcile
PAY-001,BNK-001,LDG-001,,True
PAY-002,BNK-002,LDG-002,,True
PAY-003,BNK-003,LDG-003,FEE-003,True
PAY-004,BNK-004,LDG-004,,True
PAY-005,BNK-005a,LDG-005,,False
PAY-006,BNK-006,LDG-006,,True
PAY-007,,LDG-007,,False
PAY-008,BNK-008,LDG-008,,False
PAY-009,BNK-009,LDG-009,,True
PAY-010,BNK-010,LDG-010,,True
PAY-011,,LDG-011,,False
PAY-012,BNK-012,LDG-012,,True
PAY-013,BNK-013,,,False
PAY-014,BNK-014,LDG-014,,True
PAY-015,BNK-015,LDG-015,,True
PAY-016,BNK-016,LDG-016,,True
PAY-017,BNK-017,,,False
PAY-018,BNK-018,LDG-018,,True
PAY-019,BNK-019,LDG-019,,True
PAY-020,,LDG-020,,False
PAY-021,BNK-021,LDG-021,,True
PAY-022,BNK-022,LDG-022,,True
PAY-023,BNK-023,,,False
PAY-024,BNK-024,LDG-024,,True
PAY-025,BNK-025,LDG-025,,True
PAY-026,BNK-026,LDG-026,,True
PAY-027,BNK-027,LDG-027,,True
PAY-028,BNK-028a,LDG-028,,False
PAY-029,BNK-029,LDG-029,FEE-029,True
PAY-030,BNK-030,LDG-030,,True
PAY-031,BNK-031,LDG-031,,True
PAY-032,BNK-032,LDG-032,FEE-032,True
PAY-033,BNK-033,LDG-033,,True
PAY-034,,LDG-034,,False
PAY-035,,LDG-035,,False
PAY-036,BNK-036,LDG-036,,True
PAY-037,BNK-037,,,False
PAY-038,,LDG-038,,False
PAY-039,,LDG-039,,False
PAY-040,BNK-040,LDG-040,FEE-040,True
PAY-041,BNK-041,LDG-041,FEE-041,True
PAY-042,BNK-042,LDG-042,,True
PAY-043,BNK-043,LDG-043,,True
PAY-044,BNK-044,LDG-044,FEE-044,True
PAY-045,BNK-045,LDG-045,,True
PAY-046,BNK-046,LDG-046,,True
PAY-047,BNK-047,LDG-047,,True
PAY-048,BNK-048,LDG-048,FEE-048,True
PAY-049,BNK-049,LDG-049,,True
PAY-050,BNK-050,LDG-050,,True
PAY-051,BNK-051,LDG-051,,True
PAY-052,BNK-052,LDG-052,FEE-052,True
PAY-053,,LDG-053,,False
PAY-054,BNK-054a,LDG-054,,False
PAY-055,BNK-055,LDG-055,FEE-055,True
PAY-056,BNK-056,LDG-056,,True
PAY-057,BNK-057,,,False
PAY-058,BNK-058,,,False
PAY-059,BNK-059,LDG-059,,True
PAY-060,BNK-060,LDG-060,,True
PAY-061,BNK-061a,LDG-061,,False
PAY-062,BNK-062,LDG-062,,True
PAY-063,BNK-063a,LDG-063,,False
PAY-064,BNK-064,LDG-064,,True
PAY-065,BNK-065,LDG-065,,True
PAY-066,BNK-066a,LDG-066,,False
PAY-067,BNK-067,LDG-067,,True
PAY-068,,LDG-068,,False
PAY-069,BNK-069,,,False
PAY-070,BNK-070,LDG-070,FEE-070,True
