ledger_id,entity,amount,date
LDG-020,NIMBUS RETAIL PRIVATE LIMITED,18429.11,2026-08-09
LDG-039,Nimbus Retail Private Ltd.,27293.35,2026-08-17
LDG-028,Northstar Logistics Pvt. Ltd,21531.62,2026-08-06
LDG-004,Bluepeak Pvt. Ltd,29498.41,2026-08-21
LDG-011,UPI/NIMBUSRETAIL/57024,41144.71,2026-08-28
LDG-009,Vertex Traders Private Ltd.,36114.76,2026-08-29
LDG-026,CLEARWATER MEDIA PRIVATE LIMITED,41499.01,2026-08-16
LDG-041,Acme Pvt. Ltd,17618.44,2026-08-19
LDG-010,Acme Pvt Ltd,11692.18,2026-08-10
LDG-034,UPI/VERTEXTRADERS/22337,44258.81,2026-08-31
LDG-006,Vertex Traders Pvt Ltd,26734.63,2026-08-30
LDG-060,Sunfield Textiles Pvt Ltd,20865.55,2026-08-24
LDG-042,Nimbus Retail Private Ltd.,10886.64,2026-08-10
LDG-024,UPI/BLUEPEAK/33399,41897.79,2026-08-05
LDG-063,UPI/RIVERLINE/92692,26037.19,2026-08-08
LDG-040,Nimbus Retail Pvt Ltd,21840.53,2026-08-04
LDG-059,UPI/VERTEXTRADERS/73719,44456.25,2026-08-23
LDG-068,UPI/ACME/37525,37733.22,2026-08-14
LDG-056,Vertex Traders Pvt. Ltd,35734.68,2026-08-10
LDG-052,Sunfield Textiles Private Ltd.,28367.84,2026-08-21
LDG-038,Vertex Traders Private Ltd.,2939.82,2026-08-25
LDG-054,Sunfield Textiles Pvt Ltd,25203.49,2026-08-14
LDG-044,UPI/SUNFIELDTEXTILES/81553,6207.79,2026-08-28
LDG-062,Bluepeak Private Ltd.,18674.76,2026-08-15
LDG-045,Nimbus Retail Private Ltd.,20830.19,2026-08-12
LDG-002,Acme Pvt Ltd,5211.41,2026-08-15
LDG-061,Riverline Private Ltd.,6882.03,2026-08-30
LDG-055,UPI/NIMBUSRETAIL/11634,17256.87,2026-08-21
LDG-018,Bluepeak Pvt. Ltd,8061.76,2026-08-24
LDG-008,UPI/ORBITFOODS/45381,30124.12,2026-08-20
LDG-032,Northstar Logistics Pvt. Ltd,27130.99,2026-08-16
LDG-012,NIMBUS RETAIL PRIVATE LIMITED,5066.25,2026-08-05
LDG-070,Bluepeak Private Ltd.,14280.02,2026-08-08
LDG-007,Nimbus Retail Private Ltd.,46730.24,2026-08-14
LDG-051,CLEARWATER MEDIA PRIVATE LIMITED,40100.39,2026-08-24
LDG-019,Nimbus Retail Pvt Ltd,34813.31,2026-08-31
LDG-043,Orbit Foods Pvt. Ltd,40380.27,2026-08-09
LDG-033,Sunfield Textiles Private Ltd.,16483.01,2026-08-22
LDG-065,Vertex Traders Private Ltd.,15590.82,2026-08-24
LDG-046,Riverline Pvt Ltd,43656.35,2026-08-22
LDG-022,Sunfield Textiles Private Ltd.,13699.54,2026-08-23
LDG-053,SUNFIELD TEXTILES PRIVATE LIMITED,13357.48,2026-08-04
LDG-064,RIVERLINE PRIVATE LIMITED,23092.16,2026-08-25
LDG-015,Cedar & Co Pvt Ltd,4300.03,2026-08-07
LDG-005,Northstar Logistics Private Ltd.,21952.02,2026-08-11
LDG-036,UPI/RIVERLINE/82620,10591.49,2026-08-11
LDG-021,Cedar & Co Private Ltd.,40497.85,2026-08-28
LDG-001,Orbit Foods Pvt Ltd,47445.4,2026-08-13
LDG-014,UPI/SUNFIELDTEXTILES/62294,45077.12,2026-08-25
LDG-029,NIMBUS RETAIL PRIVATE LIMITED,26651.82,2026-08-01
LDG-048,Orbit Foods Pvt. Ltd,19699.7,2026-08-16
LDG-067,Nimbus Retail Private Ltd.,27841.48,2026-08-08
LDG-030,Northstar Logistics Private Ltd.,27005.59,2026-08-16
LDG-050,UPI/SUNFIELDTEXTILES/77237,8323.69,2026-08-25
LDG-025,Sunfield Textiles Pvt Ltd,20667.95,2026-08-31
LDG-049,RIVERLINE PRIVATE LIMITED,2102.21,2026-08-11
LDG-003,Clearwater Media Private Ltd.,29691.53,2026-08-02
LDG-035,UPI/NIMBUSRETAIL/77581,49503.7,2026-08-27
LDG-016,Northstar Logistics Pvt. Ltd,5971.75,2026-08-12
LDG-027,Riverline Pvt. Ltd,49340.92,2026-08-07
LDG-066,Nimbus Retail Pvt. Ltd,32517.05,2026-08-03
LDG-031,Northstar Logistics Pvt. Ltd,2365.42,2026-08-30
LDG-047,Sunfield Textiles Private Ltd.,1177.51,2026-08-12
