payment_id,merchant,amount,date
PAY-001,Orbit Foods Pvt Ltd,47445.4,2026-08-13
PAY-002,ACME PRIVATE LIMITED,5211.41,2026-08-14
PAY-003,Clearwater Media Pvt Ltd,29691.53,2026-08-02
PAY-004,Bluepeak Private Ltd.,29498.41,2026-08-21
PAY-005,Northstar Logistics Pvt. Ltd,21952.02,2026-08-11
PAY-006,UPI/VERTEXTRADERS/55020,26734.63,2026-08-29
PAY-007,Nimbus Retail Pvt Ltd,46730.24,2026-08-14
PAY-008,Orbit Foods Pvt Ltd,30124.12,2026-08-19
PAY-009,Vertex Traders Private Ltd.,36114.76,2026-08-29
PAY-010,ACME PRIVATE LIMITED,11692.18,2026-08-10
PAY-011,Nimbus Retail Private Ltd.,41144.71,2026-08-28
PAY-012,NIMBUS RETAIL PRIVATE LIMITED,5066.25,2026-08-05
PAY-013,Riverline Private Ltd.,27194.96,2026-08-20
PAY-014,Sunfield Textiles Pvt. Ltd,45077.12,2026-08-25
PAY-015,CEDAR & CO PRIVATE LIMITED,4300.03,2026-08-07
PAY-016,Northstar Logistics Pvt Ltd,5971.75,2026-08-12
PAY-017,UPI/CLEARWATERMEDIA/25119,18844.01,2026-08-04
PAY-018,Bluepeak Private Ltd.,8061.76,2026-08-24
PAY-019,Nimbus Retail Pvt. Ltd,34813.31,2026-08-30
PAY-020,Nimbus Retail Pvt. Ltd,18429.11,2026-08-08
PAY-021,CEDAR & CO PRIVATE LIMITED,40497.85,2026-08-27
PAY-022,Sunfield Textiles Private Ltd.,13699.54,2026-08-23
PAY-023,Sunfield Textiles Pvt. Ltd,10638.6,2026-08-07
PAY-024,BLUEPEAK PRIVATE LIMITED,41897.79,2026-08-04
PAY-025,SUNFIELD TEXTILES PRIVATE LIMITED,20667.95,2026-08-31
PAY-026,Clearwater Media Private Ltd.,41499.01,2026-08-16
PAY-027,Riverline Pvt Ltd,49340.92,2026-08-07
PAY-028,Northstar Logistics Private Ltd.,21531.62,2026-08-05
PAY-029,NIMBUS RETAIL PRIVATE LIMITED,26651.82,2026-08-01
PAY-030,Northstar Logistics Pvt. Ltd,27005.59,2026-08-16
PAY-031,UPI/NORTHSTARLOGISTICS/18305,2365.42,2026-08-29
PAY-032,NORTHSTAR LOGISTICS PRIVATE LIMITED,27130.99,2026-08-16
PAY-033,UPI/SUNFIELDTEXTILES/41541,16483.01,2026-08-22
PAY-034,VERTEX TRADERS PRIVATE LIMITED,44258.81,2026-08-31
PAY-035,NIMBUS RETAIL PRIVATE LIMITED,49503.7,2026-08-27
PAY-036,Riverline Private Ltd.,10591.49,2026-08-11
PAY-037,Northstar Logistics Pvt Ltd,31572.43,2026-08-17
PAY-038,Vertex Traders Private Ltd.,2939.82,2026-08-25
PAY-039,UPI/NIMBUSRETAIL/84789,27293.35,2026-08-17
PAY-040,Nimbus Retail Pvt Ltd,21840.53,2026-08-03
PAY-041,Acme Private Ltd.,17618.44,2026-08-18
PAY-042,Nimbus Retail Private Ltd.,10886.64,2026-08-10
PAY-043,Orbit Foods Pvt Ltd,40380.27,2026-08-09
PAY-044,UPI/SUNFIELDTEXTILES/95210,6207.79,2026-08-27
PAY-045,NIMBUS RETAIL PRIVATE LIMITED,20830.19,2026-08-12
PAY-046,Riverline Pvt. Ltd,43656.35,2026-08-22
PAY-047,Sunfield Textiles Pvt. Ltd,1177.51,2026-08-12
PAY-048,Orbit Foods Pvt. Ltd,19699.7,2026-08-16
PAY-049,RIVERLINE PRIVATE LIMITED,2102.21,2026-08-10
PAY-050,SUNFIELD TEXTILES PRIVATE LIMITED,8323.69,2026-08-24
PAY-051,CLEARWATER MEDIA PRIVATE LIMITED,40100.39,2026-08-23
PAY-052,Sunfield Textiles Pvt. Ltd,28367.84,2026-08-21
PAY-053,SUNFIELD TEXTILES PRIVATE LIMITED,13357.48,2026-08-03
PAY-054,UPI/SUNFIELDTEXTILES/20058,25203.49,2026-08-13
PAY-055,Nimbus Retail Pvt. Ltd,17256.87,2026-08-21
PAY-056,UPI/VERTEXTRADERS/70904,35734.68,2026-08-10
PAY-057,UPI/ACME/76403,15189.86,2026-08-03
PAY-058,Clearwater Media Private Ltd.,5424.85,2026-08-24
PAY-059,VERTEX TRADERS PRIVATE LIMITED,44456.25,2026-08-23
PAY-060,UPI/SUNFIELDTEXTILES/28442,20865.55,2026-08-24
PAY-061,Riverline Pvt Ltd,6882.03,2026-08-30
PAY-062,Bluepeak Pvt Ltd,18674.76,2026-08-14
PAY-063,UPI/RIVERLINE/58935,26037.19,2026-08-07
PAY-064,Riverline Private Ltd.,23092.16,2026-08-25
PAY-065,Vertex Traders Private Ltd.,15590.82,2026-08-24
PAY-066,Nimbus Retail Pvt. Ltd,32517.05,2026-08-03
PAY-067,NIMBUS RETAIL PRIVATE LIMITED,27841.48,2026-08-08
PAY-068,UPI/ACME/60179,37733.22,2026-08-14
PAY-069,Orbit Foods Pvt. Ltd,37853.44,2026-08-16
PAY-070,UPI/BLUEPEAK/60405,14280.02,2026-08-08
